Category,Label,Long Name,DataType,Limits,A2L Unit,A2L Unit Desc.,Unit,Conversion Target Unit,Dev,A2L LongIdentifier,Comment,ID,Problem,Workflow
,Vxx_pump_max_maf,Maximum mass air flow pumped ,UWORD,"(0.0, 3000.0)",kg/h,,0xE4963924,m/s,1,Maximum mass air flow pumped by the engine to protect engine and supercharger,,153,,0
,Vxx_mv_ti_ad_fac,Mean adaptation factor on injection time,UBYTE,"(0.66666667, 1.33072916333333)",[-],?,0xF8000006,,40,Mean adaptation factor on injection time,,154,,0
,Vxx_fil_alt_pow,Filtered alternator mechanical power,UWORD,"(0.0, 655350.0)",W,,0xE49A9924,W,1,Filtered alternator mechanical power,,155,,0
,lv_igk_mu,ignition key MU,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,28,ignition key MU,,156,,0
,Vsx_inj1_snd_vld,First twin injector validity status,UBYTE,"(0.0, 1.0)",-,State,0xF8000006,,41,First twin injector validity status,,157,,0
,Vsx_pws_sens_crk_vld,Power supply of crankshaft sensor validity status,UBYTE,"(0.0, 2.0)",-,State,0xF8000006,,42,Power supply of crankshaft sensor validity status,,158,,0
,dnc_act_crk_edge,Active edge of crankshaft signal,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,29,"Active edge of crankshaft signal,in loaded configuration",,159,,0
,dnc_crk_sens_typ,Crankshaft sensor technology,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,30,"Crankshaft sensor technology, in loaded configuration",,160,,0
,dnc_nr_tooth,Number of crankshaft teeth per revolution ,UBYTE,"(0.0, 255.0)",-,,0xF8000001,,31,"Number of crankshaft teeth per revolution (incl. missing teeth in gap position), in loaded configuration",,161,,0
,dnlc_lih_cam_ex,Exhaust camshaft sensor availability ,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,32,"Exhaust camshaft sensor availability for crankshaft limp-home synchronization, in loaded configuration",,162,,0
,Vbx_sens_igk,Ignition key signal sensor,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,33,Ignition key signal sensor,,163,,0
,Vbx_mux_ign_pws_vld_ada,Ignition supply confirmation OK from CAN,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,34,Ignition supply confirmation OK from CAN,,164,,0
,Vsx_fuel_ign_1,Fuel ignition advance state 1.,UBYTE,"(0.0, 3.0)",-,State,0xF8000006,,43,Fuel ignition advance state 1.,,165,,0
,Vsx_fuel_ign_2,Fuel ignition advance state 2.,UBYTE,"(0.0, 3.0)",-,State,0xF8000006,,44,Fuel ignition advance state 2.,,166,,0
,Vxx_cylr_iga_mem,Ignition advance memorized,UBYTE,"(-23.625, 72.0)",DegCRK,,0xE4B24924,,8,Ignition advance memorized due to stability during cylinder recognition,,167,,0
,Vxx_is_wup_nom_iga,Ignition advance in warm-up mode ,UBYTE,"(-23.625, 72.0)",DegCRK,,0xE4B24924,,9,Ignition advance in warm-up mode during idle speed in nominal temperature conditions,,168,,0
,Vxx_mis_bch_igc_cut_ctr,Ignition cut counter,UBYTE,"(0.0, 255.0)",wu,Counter,0xF8000006,,45,Ignition cut counter,,169,,0
,Vxx_sta_iga,Start ignition advance,UBYTE,"(-23.625, 72.0)",DegCRK,,0xE4B24924,,10,Start ignition advance,,170,,0
,Vbx_inj_open,One injector is open.,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,35,One (ore more) injector is open.,,171,,0
,psn_eng_syn_cam_max_ensd,Maximum engine position during crankshaft synchronization ,SWORD,"(-719.9375, 1439.9375)",DegCRK,,0xE4B24924,,11,Maximum engine position during crankshaft synchronization phase for ENSD,,172,,0
,psn_eng_syn_cam_min_ensd,Minimum engine position during crankshaft synchronization ,SWORD,"(-719.9375, 1439.9375)",DegCRK,,0xE4B24924,,12,Minimum engine position during crankshaft synchronization phase for ENSD,,173,,0
,Vsx_inj1_vld,First injector validity status,UBYTE,"(0.0, 4.0)",-,,0x00000001,,36,First injector validity status,,174,,0
,Vbx_mis_det_intm,Isolated Misfire detected,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,37,Isolated Misfire detected,,175,,0
,Vxx_mis_tq_fil_mes,Torque gaz filtered at the current TDC,SWORD,"(-3276.8, 3276.7)",Nm,,0xE49AA924,N.m,9,Torque gaz filtered at the current TDC,,176,,0
,Vxx_mis_tlz_fil_mes,Torque gaz filtered at current tdc,SWORD,"(-3276.8, 3276.7)",Nm,,0xE49AA924,N.m,10,Torque gaz filtered at current tdc,,177,,0
,Vxx_mis_tq_cor,Value of applied offset correction.,SWORD,"(-3276.8, 3276.7)",Nm,,0xE49AA924,N.m,11,Value of applied offset correction.,,178,,0
,Vxx_mis_tlz_cor,Value of applied offset correction.,SWORD,"(-3276.8, 3276.7)",Nm,,0xE49AA924,N.m,12,Value of applied offset correction.,,179,,0
,Vsx_sens_crk_vld,Crankshaft sensor validity status,UBYTE,"(0.0, 2.0)",-,State,0xF8000006,,46,Crankshaft sensor validity status,,180,,0
,Vbt_inj_cut_req[0],List in ignition order ,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,38,List in ignition order of cut request for injector not related to limp home or defaults,,,,0
,Vbt_inj_cut_req[1],List in ignition order ,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,39,List in ignition order of cut request for injector not related to limp home or defaults,,,,0
,Vbt_inj_cut_req[2],List in ignition order ,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,40,List in ignition order of cut request for injector not related to limp home or defaults,,,,0
,Vbt_inj_cut_req[3],List in ignition order ,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,41,List in ignition order of cut request for injector not related to limp home or defaults,,181,,0
,Vxx_iga,Final ignition advance calculated ,UBYTE,"(-23.625, 72.0)",DegCRK,,0xE4B24924,,13,Final ignition advance calculated by torque structure,,182,,0
,Vxx_min_iga,Minimum ignition advance,UBYTE,"(-23.625, 72.0)",DegCRK,,0xE4B24924,,14,Minimum ignition advance,,183,,0
,Vxx_tqi_maf_eng_sp,Final indicated torque ,UWORD,"(0.0, 2047.96875)",Nm,,0xE49AA924,N.m,13,Final indicated torque for fresh mass air flow control (engine),,184,,0
,Vxx_lbup_heat_egy,Heating energy of the upstream oxygen sensor,UWORD,"(0.0, 2399.96337890625)",J,,0x849AA924,J,999,Heating energy of the upstream oxygen sensor,,185,,0
,iplsl_cyl_sel[3],Cylinder individual upstream oxygen sensor ,SWORD,"(-12.005862, 12.005496)",mA,,0xE4924B24,A,1,Cylinder individual upstream oxygen sensor pump current acquisition,,186,,0
,vp_map,Voltage of the intake manifold pressure sensor,UWORD,"(0.0, 4.99984741210938)",V,,0xE49A9724,V,20,Voltage of the intake manifold pressure sensor,,187,,0
,vp_map_mv,Mean value Voltage of the intake manifold pressure sensor ,UWORD,"(0.0, 4.99984741210938)",V,,0xE49A9724,V,21,Mean value Voltage of the intake manifold pressure sensor (for diagnosis),,188,,0
,Vxx_fast_cor_cdn_ctr,Exhaust gas mass counter,UWORD,"(0.0, 655.35)",g,,0x8490C924,kg,0,Exhaust gas mass counter,,190,,0
,Vxx_lbup_per_mv_max,oxygen sensor failure high threshold,UWORD,"(0.0, 655.35)",s,,0xE4925924,s,12,oxygen sensor failure high threshold,,192,,0
,Vxx_maf_frh_eng_sp,Fresh mass air flow (engine),UWORD,"(0.0, 3000.0)",kg/h,,0xE4963924,m/s,2,Fresh mass air flow (engine),,193,,0
,Vbx_df_sens_map_shp,Manifold pressure sensor drift signal failure,UBYTE,"(0.0, 1.0)",-,,0xF8000001,,42,Manifold pressure sensor drift signal failure,,194,,0
,Vxx_fast_cor_cdn_ctr,Exhaust gas mass counter,UWORD,"(0.0, 655.35)",g,,0x8490C924,kg,1,Exhaust gas mass counter,,,,
